Year,Vaccination,Vaccination flag,Category ,Category flag,Group,Group flag,Estimate,Estimate flag
2009,Combined series (4:3:1:4:3:1:4),4,Race and Hispanic origin,1,All,,44.0,
2007,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,All,,67.0,
2008,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,All,,68.0,
2009,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,All,,64.0,
2002,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,All,,66.0,
2003,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,All,,73.0,
2004,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,All,,76.0,
2005,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,All,,76.0,
2006,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,All,,77.0,
2007,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,All,,77.0,
2008,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,All,,76.0,
2009,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,All,,70.0,
1995,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,All,,78.0,
1996,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,All,,81.0,
1997,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,All,,82.0,
1998,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,All,,84.0,
1999,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,All,,83.0,
2000,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,All,,82.0,
2001,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,All,,82.0,
2002,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,All,,82.0,
2003,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,All,,85.0,
2004,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,All,,86.0,
2005,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,All,,86.0,
2006,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,All,,85.0,
2007,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,All,,85.0,
2008,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,All,,85.0,
2009,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,All,,84.0,
1995,Polio (3 doses or more),,Race and Hispanic origin,1,All,,88.0,
1996,Polio (3 doses or more),,Race and Hispanic origin,1,All,,91.0,
1997,Polio (3 doses or more),,Race and Hispanic origin,1,All,,91.0,
1998,Polio (3 doses or more),,Race and Hispanic origin,1,All,,91.0,
1999,Polio (3 doses or more),,Race and Hispanic origin,1,All,,90.0,
2000,Polio (3 doses or more),,Race and Hispanic origin,1,All,,90.0,
2001,Polio (3 doses or more),,Race and Hispanic origin,1,All,,89.0,
2002,Polio (3 doses or more),,Race and Hispanic origin,1,All,,90.0,
2003,Polio (3 doses or more),,Race and Hispanic origin,1,All,,92.0,
2004,Polio (3 doses or more),,Race and Hispanic origin,1,All,,92.0,
2005,Polio (3 doses or more),,Race and Hispanic origin,1,All,,92.0,
2006,Polio (3 doses or more),,Race and Hispanic origin,1,All,,93.0,
2007,Polio (3 doses or more),,Race and Hispanic origin,1,All,,93.0,
2008,Polio (3 doses or more),,Race and Hispanic origin,1,All,,94.0,
2009,Polio (3 doses or more),,Race and Hispanic origin,1,All,,93.0,
1995,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,All,,90.0,
1996,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,All,,91.0,
1997,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,All,,90.0,
1998,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,All,,92.0,
1999,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,All,,92.0,
2000,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,All,,91.0,
2001,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,All,,91.0,
2002,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,All,,92.0,
2003,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,All,,93.0,
2004,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,All,,93.0,
2005,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,All,,92.0,
2006,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,All,,92.0,
2007,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,All,,92.0,
2008,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,All,,92.0,
2009,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,All,,90.0,
1995,Hib (3 doses or more),8,Race and Hispanic origin,1,All,,91.0,
1996,Hib (3 doses or more),8,Race and Hispanic origin,1,All,,91.0,
1997,Hib (3 doses or more),8,Race and Hispanic origin,1,All,,93.0,
1998,Hib (3 doses or more),8,Race and Hispanic origin,1,All,,93.0,
1999,Hib (3 doses or more),8,Race and Hispanic origin,1,All,,94.0,
2000,Hib (3 doses or more),8,Race and Hispanic origin,1,All,,93.0,
2001,Hib (3 doses or more),8,Race and Hispanic origin,1,All,,93.0,
2002,Hib (3 doses or more),8,Race and Hispanic origin,1,All,,93.0,
2003,Hib (3 doses or more),8,Race and Hispanic origin,1,All,,94.0,
2004,Hib (3 doses or more),8,Race and Hispanic origin,1,All,,94.0,
2005,Hib (3 doses or more),8,Race and Hispanic origin,1,All,,94.0,
2006,Hib (3 doses or more),8,Race and Hispanic origin,1,All,,93.0,
2007,Hib (3 doses or more),8,Race and Hispanic origin,1,All,,93.0,
2008,Hib (3 doses or more),8,Race and Hispanic origin,1,All,,91.0,
2009,Hib (primary series plus booster dose),8,Race and Hispanic origin,1,All,,55.0,
2009,Combined series (4:3:1:4:3:1:4),4,Race and Hispanic origin,1,Not Hispanic or Latino White,,45.0,
2007,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,Not Hispanic or Latino White,,67.0,
2008,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,Not Hispanic or Latino White,,68.0,
2009,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,Not Hispanic or Latino White,,64.0,
2002,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Not Hispanic or Latino White,,66.0,
2003,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Not Hispanic or Latino White,,74.0,
2004,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Not Hispanic or Latino White,,77.0,
2005,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Not Hispanic or Latino White,,76.0,
2006,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Not Hispanic or Latino White,,78.0,
2007,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Not Hispanic or Latino White,,78.0,
2008,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Not Hispanic or Latino White,,75.0,
2009,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Not Hispanic or Latino White,,69.0,
1995,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino White,,80.0,
1996,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino White,,83.0,
1997,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino White,,84.0,
1998,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino White,,87.0,
1999,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino White,,86.0,
2000,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino White,,84.0,
2001,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino White,,84.0,
2002,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino White,,84.0,
2003,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino White,,88.0,
2004,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino White,,88.0,
2005,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino White,,87.0,
2006,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino White,,87.0,
2007,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino White,,85.0,
2008,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino White,,85.0,
2009,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino White,,86.0,
1995,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino White,,89.0,
1996,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino White,,92.0,
1997,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino White,,92.0,
1998,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino White,,92.0,
1999,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino White,,90.0,
2000,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino White,,91.0,
2001,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino White,,90.0,
2002,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino White,,91.0,
2003,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino White,,93.0,
